"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"470","L1124106",-114.2419472,51.0960772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.2419472,51.0960772,TRUE
"471","L2427962",-113.3959436,51.1350663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.3959436,51.1350663,TRUE
"472","L3487340",-113.9528017,52.0202538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.9528017,52.0202538,TRUE
"473","L1306706",-113.9230943,50.5257872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.9230943,50.5257872,TRUE
"474","L283046",-113.6063066,51.3221198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.6063066,51.3221198,TRUE
"475","L1020160",-114.0582561,49.0529453,"433",5189,"Waterton Lakes","NP",NA,"OC","41","II",NA,123216.57513335,49863.97884245,NA,"1895/12/31","Waterton Lakes National Park of Canada",NA,"{EE793A4D-C5DC-4C3D-AFAE-8506F6CA69E5}",498639788.585,144112.951557,-114.0582561,49.0529453,TRUE
"476","L249609",-114.6070106,51.1007995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.6070106,51.1007995,TRUE
"477","L2465278",-113.6312807,50.7456888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.6312807,50.7456888,TRUE
"478","L1302864",-111.8182468,50.0612164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.8182468,50.0612164,TRUE
"479","L4375015",-110.6844315,50.0228286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.6844315,50.0228286,TRUE
