"","locality_id","TYPE"
"295","L2549478","out"
"296","L4834146","out"
"297","L1172327","out"
"298","L1612883","out"
"299","L4465933","out"
"300","L630497","out"
"301","L306684","nat"
"302","L2606571","prov"
"303","L3073841","nat"
"304","L1477091","nat"
"305","L2445494","out"
"306","L502770","out"
"307","L1000491","out"
"308","L1023235","out"
"309","L1641837","out"
"310","L863811","out"
"311","L4137217","out"
"312","L2310114","out"
"313","L923233","out"
"314","L857476","out"
"315","L4973681","out"
"316","L1336141","out"
"317","L1626295","prov"
"318","L903263","out"
"319","L1565414","out"
"320","L2445512","out"
"321","L889844","prov"
"322","L2860057","out"
"323","L2362988","out"
"324","L4060773","out"
"325","L3936284","prov"
"326","L2902918","out"
"327","L619868","out"
"328","L3865802","prov"
"329","L5113323","out"
"330","L909259","out"
"331","L4774551","nat"
"332","L427237","out"
"333","L163254","nat"
"334","L2362996","out"
"335","L898739","out"
"336","L387130","out"
"337","L592478","out"
"338","L294463","prov"
"339","L901058","out"
"340","L977852","out"
"341","L3516369","out"
"342","L4541423","out"
"343","L988020","out"
"344","L1476139","nat"
"345","L3500270","out"
"346","L2193019","out"
"347","L581496","out"
"348","L980750","out"
"349","L3512486","out"
"350","L892153","out"
"351","L1428807","out"
"352","L2203430","out"
"353","L3247817","out"
"354","L980219","out"
"355","L2869107","out"
"356","L351689","nat"
"357","L794134","prov"
"358","L473224","nat"
"359","L785395","out"
"360","L377682","prov"
"361","L2362998","out"
"362","L2408209","out"
"363","L4458713","out"
"364","L1156712","out"
"365","L1782162","out"
"366","L378258","out"
"367","L4476839","out"
"368","L459729","nat"
"369","L5751080","out"
"370","L1861251","out"
"371","L1546765","prov"
"372","L1626031","prov"
"373","L4476959","prov"
"374","L5444001","prov"
"375","L2465392","out"
"376","L434493","out"
"377","L4477108","out"
"378","L993556","out"
"379","L5863846","out"
"380","L2514047","out"
"381","L381463","nat"
"382","L1172429","nat"
"383","L4946421","nat"
"384","L601261","out"
"385","L351688","nat"
"386","L1525459","out"
"387","L2526101","nat"
"388","L3091544","out"
"389","L1626252","out"
"390","L1466668","out"
"391","L3239774","out"
"392","L2277226","prov"
"393","L4786892","prov"
"394","L880277","out"
"395","L3056454","out"
"396","L4751684","out"
