"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.204667248617572,0.00207748518696891,-98.5168269315968,0,0.0554544341890038,-3.69072828189014,0.000223612905038806
"b_sr",0.292818436544568,0.00590468712698074,49.590847109675,0,0.0460057868939554,6.36481747871246,1.95522043000551e-10
"b_sr2",-0.00590171034230953,0.000165953402498355,-35.5624546014839,0,0.00214703008458,-2.74877859639494,0.00598177763297558
"b_es",0.166555000058611,0.00342458986328952,48.635021041213,0,0.0562747266760865,2.95967674827263,0.003079619894784
"b_2nd_sr",0.0185720018843565,0.00305767197430665,6.0739026424075,1.24838428483542e-09,0.0107364907249312,1.72980188407656,0.0836656777239382
"b_3rd_sr",0.0209820052793498,0.00328916549737578,6.37912725768587,1.78099979208923e-10,0.0145783087296499,1.43926196573652,0.150076314647059
"b_4th_sr",0.0213808280000779,0.00333469144557339,6.41163608359019,1.43966172316823e-10,0.0128856569644155,1.65927341222277,0.0970607103579528
"b_pr_nat",-0.0128562984743971,0.0362948349072073,-0.354218403452338,0.723175212609282,0.286815543391129,-0.0448242738953134,0.964247376764749
"b_pr_prov",-0.316844771101911,0.0162554857877775,-19.4915596641318,0,0.104117951337478,-3.04313297593534,0.00234128848819304
