"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.244738982320603,0.00210250155984664,-116.403710225287,0,0.0548056845651578,-4.46557659597584,7.98533960466585e-06
"b_sr",0.315794901902361,0.00566141925976943,55.7801652575757,0,0.0475220433356752,6.64522987094056,3.02744496138985e-11
"b_sr2",-0.00659808795428468,0.00015848076701622,-41.6333671177234,0,0.00202299650947248,-3.26154193711644,0.00110808040608612
"b_es",0.158862926983529,0.00323537531833009,49.1018541445525,0,0.0503464795634385,3.15539295619182,0.00160282069465856
"b_2nd_sr",0.0179851819345915,0.00284936914320899,6.31198733146118,2.75474754118932e-10,0.0100906584503183,1.78235959755671,0.0746906096342292
"b_3rd_sr",0.0215700171969875,0.00306804766738908,7.03053522481405,2.05746530923534e-12,0.0137067826504882,1.57367470886534,0.115562671700624
"b_4th_sr",0.0218264353202818,0.00312288566436451,6.98918809911772,2.76489942052649e-12,0.0125356789023764,1.74114505406996,0.0816581556704332
"b_pr_nat",0.0974943656901365,0.0360823317243123,2.70199737741574,0.00689243060356381,0.283789476493851,0.343544682821419,0.731188731824371
"b_pr_prov",-0.397661640431834,0.015777239828352,-25.2047661541678,0,0.0952513094765962,-4.17486796367395,2.98158932274806e-05
