"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.19633318082855,0.00220518776845052,-89.0324096829649,0,0.0487788799608688,-4.02496287299035,5.69843051037022e-05
"b_sr",0.292192333870147,0.00636581134905714,45.9002502349405,0,0.0391694935085478,7.45969140005304,8.68194405256872e-14
"b_sr2",-0.0059617190139649,0.000184354482836913,-32.3383457902613,0,0.00191228519743638,-3.1175888523099,0.00182336975352793
"b_es",0.165026141246795,0.00377681923945353,43.6944769616967,0,0.0512856657738423,3.21778295663591,0.00129185533659015
"b_2nd_sr",0.0220589906578968,0.00347206484557189,6.35327726843289,2.10775397135876e-10,0.0107343883159202,2.05498348007228,0.0398806003611036
"b_3rd_sr",0.0237031946308905,0.00372850757973764,6.35728750015265,2.05347516768484e-10,0.0134202201986534,1.76622993363916,0.0773572810435397
"b_4th_sr",0.0210284755405909,0.00377087310041224,5.57655348791558,2.45330504800023e-08,0.0106129150205969,1.98140430784381,0.0475459510572596
"b_pr_nat",-0.0380067709871197,0.0406645626565384,-0.934641085608937,0.349973297945159,0.272472661302786,-0.13948838318456,0.889064235074826
"b_pr_prov",-0.283985496182684,0.0177197241616936,-16.0265190130106,0,0.0981192879856255,-2.89428818749977,0.00380019202759896
