"b_tc","b_sr","logLike"
-0.203435950897016,0.195709189182598,-498.068181693602
-0.203435950897016,0.195709189182598,-498.068181693602
-0.20343595090793,0.195709189244444,-498.068181693602
-1,1,-498.068181693602
-1,1,-498.068181693602
-1.00000000454747,1.00000001136868,-498.068181693602
