"","b_tc","mu_sr","sigma_sr"
"b_tc",-314194.768463822,21174.0725928528,14912.9923526467
"mu_sr",21174.0725928528,Inf,-156189.427766
"sigma_sr",14912.9923526467,-156189.427766,-217798.361631743
