"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.192169122664221,0.00216421487880677,-88.7939199319119,0,0.0472909990976994,-4.06354541732592,4.83329125666732e-05
"b_sr",0.285480193107337,0.00634676965229973,44.9803929789533,0,0.0394122055773842,7.24344626049432,4.37427871702312e-13
"b_sr2",-0.00578933176190163,0.000184188144027038,-31.4316200561302,0,0.00190828918560188,-3.03378115098192,0.00241509557599295
"b_es",0.16769356166253,0.00378923975032171,44.2551996474473,0,0.0508745138533769,3.29621944193575,0.000979954382237747
"b_2nd_sr",0.0241179015116916,0.00346942983745052,6.95154611612334,3.61310981134011e-12,0.0105953389141791,2.27627466257035,0.0228295756299133
"b_3rd_sr",0.0236744824478629,0.00372447954265631,6.35645388213843,2.06464401131257e-10,0.0135649430223352,1.74526958269429,0.0809379540260813
"b_4th_sr",0.0228631828360899,0.00377453776972992,6.05721395065701,1.38499323121266e-09,0.0103085739958114,2.21788026601736,0.0265629973775889
"b_pr_nat",-0.0441395498870283,0.0407042449114963,-1.08439672528016,0.278188935071227,0.267711370401729,-0.164877382013294,0.869040495275194
"b_pr_prov",-0.274632564533214,0.0176912652911016,-15.5236247953022,0,0.0986840573581355,-2.78294764002803,0.00538674986741561
