"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.200255003100329,0.00210181181841379,-95.2773228059297,0,0.0526790792561602,-3.80141426023332,0.00014387252524295
"b_sr",0.289625013245545,0.00605245037853075,47.8525217278778,0,0.0439450452606238,6.59061815792594,4.37998526336969e-11
"b_sr2",-0.00588332661901233,0.000171971263062648,-34.2111031473269,0,0.00207340936881884,-2.83751328005423,0.00454664553682549
"b_es",0.167172119119743,0.00352205891817589,47.4643164704138,0,0.0541897732021085,3.08493852698462,0.00203594228401416
"b_2nd_sr",0.0224186184312324,0.00318330715420477,7.04255585315418,1.88737914186277e-12,0.0104461120735558,2.14612080297174,0.0318633419649974
"b_3rd_sr",0.0237213511471673,0.00342141423287088,6.93320058099568,4.11426448465591e-12,0.0136447623264654,1.73849500486771,0.0821236294923724
"b_4th_sr",0.0231192557681976,0.00346552417398302,6.67121468716405,2.53694842911045e-11,0.011628235867818,1.98819976056573,0.0467896014628981
"b_pr_nat",-0.0153570895658165,0.0378061681040144,-0.406205927127162,0.684591299419212,0.28359921441344,-0.0541506773831484,0.95681511673203
"b_pr_prov",-0.301747976216389,0.0166735176691637,-18.097439436817,0,0.100038207042094,-3.01632731271784,0.00255856908523344
