"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.19832674133722,0.00205704547842541,-96.4133965035286,0,0.0554713730674785,-3.57529894015719,0.000349827937732305
"b_sr",0.113672413774084,0.00270876525787687,41.9646602611776,0,0.0302078797328164,3.7630053740778,0.000167883592675722
"b_es",0.17063738041149,0.00351542856993824,48.5395669451727,0,0.0633520443359423,2.69347867460498,0.00707106687881254
"b_2nd_sr",0.0141424265485231,0.00269524236944151,5.24718174100742,1.54443527744519e-07,0.00892611780243791,1.58438717273712,0.113105639146164
"b_3rd_sr",0.0156381049875522,0.00289892238767731,5.39445452352444,6.87320313996764e-08,0.0125479812753006,1.24626460977705,0.212667265989267
"b_4th_sr",0.0156282033528138,0.00293761806689477,5.32002561154374,1.03752645141952e-07,0.0113508425887777,1.37683200437164,0.168564193478796
"b_pr_nat",-0.232600286996331,0.0353303547915346,-6.58358197557822,4.59248195028295e-11,0.226083982462097,-1.02882249535447,0.303563093876818
"b_pr_prov",-0.196191229996657,0.015874385679098,-12.3589809371322,0,0.0893102818315915,-2.19673732937722,0.0280392112102967
