"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.206064473851617,0.00207307191108519,-99.4005431021198,0,0.0560616117140282,-3.67567873187018,0.000237217894029973
"b_sr",0.294140204725,0.00586951326227578,50.113219202601,0,0.0466975916331249,6.29883029163226,2.99900104749895e-10
"b_sr2",-0.00592572076420126,0.000164464584113001,-36.0303757563379,0,0.00216272180459854,-2.7399366629594,0.00614510251686951
"b_es",0.167655625171951,0.00339516411569265,49.3807131139954,0,0.0562658748676557,2.97970351596412,0.00288527495705959
"b_2nd_sr",0.017542148476826,0.00302935617892456,5.79071837074423,7.00860103286516e-09,0.0106752669362969,1.64325150663738,0.100330907088153
"b_3rd_sr",0.0197739839093786,0.00325673267338557,6.0717246063744,1.26543819867209e-09,0.0146790633327641,1.34708758052992,0.177952027551884
"b_4th_sr",0.0197189490711697,0.00330125229339011,5.97317239601823,2.32683783352172e-09,0.0130368400407751,1.51255588083424,0.130392508125076
"b_pr_nat",-0.00625774379717233,0.0358691805279654,-0.174460182949914,0.861503820255241,0.288861387415748,-0.0216634831437882,0.982716393161776
"b_pr_prov",-0.314554748256586,0.0161553636773124,-19.4706076903937,0,0.105462366584838,-2.98262554162908,0.00285787413938476
