"b_tc","b_sr","logLike"
-0.2,0.2,-491.316618561196
-0.2,0.2,-491.316618561196
-0.418622610100283,0.139976407858921,-479.523184129088
-1.20569280557244,0.338878615245184,-469.510797365098
-0.963639118984,0.263809364225576,-456.250465880615
-0.854020791958279,0.237522721600351,-455.423995571092
-0.866477644466437,0.242711070506407,-455.37702514596
-0.866269648521489,0.243340462777046,-455.376536156149
-0.862393903344834,0.242973727897843,-455.375594915707
-0.862260706585929,0.242816856294279,-455.375549450886
-0.862261091101751,0.242817077130094,-455.375549450811
-0.862261091101751,0.242817077130094,-455.375549450811
-0.862261091101751,0.242817077130094,-455.375549450811
-0.862261095493393,0.242817073530388,-455.375549450811
