"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.173450809131073,0.00249870488152923,-69.4162845773607,0,0.0397529389783756,-4.36321976660456,1.28162080315075e-05
"b_sr",0.123280870303224,0.00404908828797825,30.4465750152311,0,0.0221787398174421,5.55851555669864,2.72078710672474e-08
"b_es",0.15910128856887,0.00485950849022104,32.7402017897562,0,0.0500115609094713,3.18129019921751,0.00146620677849474
"b_2nd_sr",0.0290870988470249,0.00433704896753457,6.70665677624564,1.99134042588867e-11,0.00960615368159736,3.02796517848215,0.00246206455700637
"b_3rd_sr",0.0275912587264179,0.00467946715980122,5.89623941876109,3.7187928292326e-09,0.0114544348768587,2.40878393591991,0.0160057705784338
"b_4th_sr",0.0301610294685356,0.00477902637968869,6.31112429023678,2.77015521632507e-10,0.00923000546323101,3.2677152346969,0.00108419392846404
"b_pr_nat",-0.321457213498804,0.0523324819750997,-6.14259445313059,8.11843703374393e-10,0.215830864743923,-1.48939408587462,0.136383625019471
"b_pr_prov",-0.127849784677949,0.0219243804173737,-5.83139784313522,5.49649592507251e-09,0.0878710977578182,-1.45496969925556,0.145677650239561
