"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.203837761474498,0.00208239520425073,-97.8862038571786,0,0.0550234544463153,-3.7045613279947,0.000211756872827484
"b_sr",0.293291123273508,0.00592748166907034,49.4798870157464,0,0.0453566328562976,6.46633369374521,1.00409236480914e-10
"b_sr2",-0.00589116870929079,0.000166889976884501,-35.299715532754,0,0.00212586635431648,-2.77118488531936,0.00558527034709511
"b_es",0.166192638161417,0.00343837951509351,48.3345824484697,0,0.0558876255513461,2.97369295120132,0.00294239347016867
"b_2nd_sr",0.01866463257422,0.00308452257057104,6.05106046306695,1.43895428905694e-09,0.0106913930331282,1.74576245736978,0.0808522370825298
"b_3rd_sr",0.0199434912928055,0.00331532709044507,6.01554258410388,1.79285164492171e-09,0.0144607291999228,1.3791483829814,0.167849008899367
"b_4th_sr",0.0196788695357977,0.00335972826579138,5.8572801068965,4.70509187167067e-09,0.012621801044572,1.55911739270051,0.118968597799285
"b_pr_nat",-0.0179417533907567,0.0365193465175873,-0.491294480916195,0.623218182815562,0.286315426245959,-0.0626642917079287,0.950033832573687
"b_pr_prov",-0.312680916457113,0.0163236032962662,-19.1551406133862,0,0.104084610269745,-3.00410325452314,0.0026636490976657
