"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.194527311021713,0.00214282986752046,-90.7805673097168,0,0.0486151169697885,-4.00137494562855,6.29754753722622e-05
"b_sr",0.290972244060479,0.00625676710480962,46.5052061529997,0,0.0401635751818836,7.2446798558841,4.33431068813661e-13
"b_sr2",-0.00595153091661839,0.000180310125385409,-33.0071919360997,0,0.00194594575055742,-3.05842591701931,0.00222503086530867
"b_es",0.165237053332392,0.0036922813099241,44.7520217076277,0,0.0512080006052229,3.22678197507166,0.00125190812185982
"b_2nd_sr",0.0222601917705948,0.00337688287900711,6.59193480146396,4.34130509319175e-11,0.0104878620912394,2.12247182285023,0.03379813643834
"b_3rd_sr",0.0225194150804205,0.00362068400900134,6.21965767364268,4.98240781965364e-10,0.0129397525505986,1.74032810846747,0.0818014211331208
"b_4th_sr",0.024892559868681,0.00368328720731649,6.75824568315888,1.39672717835992e-11,0.0105305398587398,2.36384460840548,0.0180863969790857
"b_pr_nat",-0.0162174631946639,0.0397445130843419,-0.408042819904443,0.683242238360427,0.272458253268903,-0.0595227452282684,0.952535749520545
"b_pr_prov",-0.282589820921469,0.017360158964916,-16.27806643318,0,0.0974416807320144,-2.90009181695718,0.00373053365945575
