"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.206154987410306,0.0396634318850845,-5.19760841693152,2.0186880744788e-07,0.0238946146188508,-8.62767576287531,0
"b_sr",0.197559562594723,0.0155486954127121,12.7058609967499,0,0.0051916462238313,38.0533561181156,0
