"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.187465293979794,0.00231909680245509,-80.8354760272774,0,0.0437375530898652,-4.2861404156428,1.81804098886573e-05
"b_sr",0.280482276495446,0.00681597205770726,41.1507374327169,0,0.0348523063399765,8.0477393306315,8.88178419700125e-16
"b_sr2",-0.0057440244090793,0.000201440743344364,-28.5147101510635,0,0.00174407554607609,-3.29344931302002,0.000989661837258904
"b_es",0.169845006708078,0.00418415132932948,40.5924626859269,0,0.0488301794494291,3.4782793883438,0.000504643642042168
"b_2nd_sr",0.0271126542090531,0.00385278756557901,7.03715264534147,1.96198612911758e-12,0.0109149483371351,2.48399290327465,0.0129918397110915
"b_3rd_sr",0.0241003209482602,0.00411884575495648,5.85123172414474,4.87945839289239e-09,0.0127975484907346,1.88319825204873,0.0596735058525892
"b_4th_sr",0.0262621241697538,0.00420643152870513,6.24332619954427,4.28362234572432e-10,0.0103816443148656,2.52966903635379,0.0114170164359162
"b_pr_nat",-0.0937835806481442,0.0445098557068241,-2.10702953669126,0.035115019369528,0.250583499841879,-0.374260798126464,0.708210294771477
"b_pr_prov",-0.238826135537587,0.019262244508757,-12.3986659721307,0,0.091100601095231,-2.62156487077328,0.0087527102917484
