"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.168187442271666,0.00244142147300446,-68.8891468070409,0,0.0377360886253431,-4.45693892500331,8.31382768384792e-06
"b_sr",0.122225006008081,0.00404497869024895,30.2164771109236,0,0.0204732686691816,5.96998007416696,2.37282571369235e-09
"b_es",0.158833498869059,0.00486671164435297,32.6367186873213,0,0.0472895273940798,3.35874574396663,0.000782970703679275
"b_2nd_sr",0.0327357713149058,0.0043442130802678,7.53548933029957,4.86277684785819e-14,0.0103967854283071,3.14864354378006,0.00164030142011851
"b_3rd_sr",0.0346799837198722,0.00471574213221737,7.35408823203942,1.92290627865077e-13,0.0112631933513643,3.07905428220954,0.00207658841570924
"b_4th_sr",0.0288038540172884,0.00475987235233906,6.05139211414646,1.43599443447329e-09,0.0095732705716693,3.00877884957406,0.00262299970939628
"b_pr_nat",-0.339720567262199,0.0517169500556223,-6.56884381033347,5.07074382483097e-11,0.218510057578424,-1.55471364122575,0.120014284312409
"b_pr_prov",-0.158338879408086,0.0220346587364561,-7.18590114337083,6.67688127009569e-13,0.0842748953977894,-1.8788380413966,0.0602666109858232
