"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.20900022764374,0.00211409770575175,-98.8602499662722,0,0.0570144756861036,-3.66573971133933,0.000246624673522433
"b_sr",0.29540572110895,0.00589459274940796,50.114695563764,0,0.0465123293382057,6.3511272239445,2.13742801236094e-10
"b_sr2",-0.00597688737602528,0.000165313672593529,-36.1548278630357,0,0.00216518628061127,-2.76044949552234,0.00577218820060299
"b_es",0.16834104778888,0.00341212949411781,49.33606654703,0,0.0565685960560846,2.97587459342246,0.00292154304911141
"b_2nd_sr",0.017392536646931,0.00305095006060319,5.70069529210595,1.19319749636304e-08,0.0108080638230097,1.60921853643234,0.107568564590782
"b_3rd_sr",0.0192995621931275,0.00327720960737941,5.88902282895485,3.88485776880998e-09,0.0146969941878577,1.31316389912384,0.189127725827613
"b_4th_sr",0.0190494811275396,0.00332185342633688,5.73459412041129,9.77461334095153e-09,0.0129268659430168,1.47363492524112,0.140579912580486
"b_pr_nat",-0.00397994139767128,0.0360985365869434,-0.110252153521115,0.912209401810639,0.289393128780572,-0.01375271560331,0.989027266444089
"b_pr_prov",-0.313978492517244,0.0162102739635958,-19.3691046321834,0,0.104414154013705,-3.00704914465939,0.00263797112036301
