"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.208140116877719,0.00211460493106116,-98.4297888557695,0,0.0562014258994433,-3.70346683463382,0.00021267299639538
"b_sr",0.29449238489552,0.0059091673451224,49.836528176614,0,0.0461121207393047,6.38644200643981,1.69789737824999e-10
"b_sr2",-0.00594248313732252,0.000166062788162262,-35.7845559687703,0,0.00214660173491948,-2.76832122170321,0.00563458898236346
"b_es",0.167530628935763,0.00341852437808715,49.0067088623499,0,0.0553612814201324,3.02613351133234,0.00247702901260238
"b_2nd_sr",0.0175700329598581,0.00306635681051582,5.72993752703634,1.00467629771117e-08,0.0106079773882848,1.65630377184458,0.0976603170466885
"b_3rd_sr",0.0203806210838747,0.00329508596170065,6.18515611451786,6.20410389728931e-10,0.01436673375442,1.4185980914141,0.156016222635763
"b_4th_sr",0.0193493392012061,0.00333700808879017,5.79840943934337,6.69468391834016e-09,0.0125965734433956,1.53607957657334,0.124518864645965
"b_pr_nat",-0.0107857236475426,0.0362866407909996,-0.297236762963682,0.766285756676977,0.28669967915498,-0.0376202850290329,0.969990434254848
"b_pr_prov",-0.315143914653589,0.0162601436711396,-19.3813733154734,0,0.104198747646042,-3.02445011838453,0.00249085542873573
