"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.20374739687746,0.00214115265922467,-95.1578095095934,0,0.0538062005665097,-3.78668991179945,0.000152667423321207
"b_sr",0.292092517443968,0.00604866886918482,48.2903798771403,0,0.0434784990931686,6.7180910918303,1.84121606849885e-11
"b_sr2",-0.00593703754832439,0.000171895252548301,-34.5386941192929,0,0.00205756981667543,-2.88546104254062,0.0039084083031411
"b_es",0.168423297960751,0.00352792175642739,47.7400888083493,0,0.0542300107764194,3.10572127037058,0.00189815545740024
"b_2nd_sr",0.02131258832449,0.00319359266619898,6.67354623839876,2.49695819576345e-11,0.0106115161153298,2.00843951918436,0.0445966069578625
"b_3rd_sr",0.0204896977206042,0.00342121769938854,5.98900728365408,2.11125716909066e-09,0.0141337596047499,1.44969903929301,0.147142463776814
"b_4th_sr",0.021678364390302,0.00347099166690371,6.24558237837548,4.22224033513885e-10,0.0117955311679919,1.83784554349939,0.0660851684165797
"b_pr_nat",-0.0311971515243132,0.0378104120795689,-0.825094195182571,0.409318115048765,0.282115376700112,-0.110582953291042,0.911947065871616
"b_pr_prov",-0.299941216901455,0.0166769092005858,-17.9854200376002,0,0.101017067845881,-2.96921325571502,0.00298563315795608
