"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.207644123751203,0.00211953894180565,-97.9666472059765,0,0.0560378089106305,-3.70542902707627,0.000211033217894396
"b_sr",0.294076818675013,0.00593233109018778,49.5718823181368,0,0.0454639291263665,6.4683546786647,9.90756365837342e-11
"b_sr2",-0.005943682099172,0.000167030823174306,-35.5843429746463,0,0.00213159364196265,-2.78837484882878,0.00529732105587555
"b_es",0.166922828573874,0.00344024069112536,48.5206831616399,0,0.0558849925005448,2.98689900642372,0.00281822806431631
"b_2nd_sr",0.0189565081996927,0.00308853506140197,6.13770212182336,8.3723672439362e-10,0.0105428418772216,1.7980453866665,0.0721698156645296
"b_3rd_sr",0.0197343812816698,0.00331449247180559,5.95396774907121,2.61718402505551e-09,0.0141292333968826,1.39670573252926,0.162502079638302
"b_4th_sr",0.0200177939387111,0.00336253217650215,5.95319030063064,2.62965227371126e-09,0.0122874457553139,1.62912572208541,0.10328640702197
"b_pr_nat",-0.0143234104887638,0.036554665186785,-0.391835362615821,0.695179864559669,0.28603985091043,-0.050074877480093,0.960062719482516
"b_pr_prov",-0.309839019357145,0.0163281084829758,-18.9758060267785,0,0.102746535166488,-3.01556659652891,0.00256499604219207
