"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.206792189157146,0.00212909027531525,-97.1270178417058,0,0.0553636744331734,-3.7351601257383,0.000187595783325056
"b_sr",0.292563916886906,0.00596710666529627,49.0294431283441,0,0.0448864898793042,6.51786133586263,7.13169523436363e-11
"b_sr2",-0.00589215239004111,0.000168593603689178,-34.9488489545782,0,0.0021177141391468,-2.78231716033921,0.00539722671847431
"b_es",0.167200493904983,0.0034647604580507,48.2574469229111,0,0.0553285966196489,3.02195436212464,0.00251148410046431
"b_2nd_sr",0.0189090681508577,0.00312860156088222,6.0439361749617,1.50399026566106e-09,0.0106012754020324,1.78365974222617,0.0744789715045278
"b_3rd_sr",0.019173903684995,0.00335589342815538,5.71350196169198,1.10674598374771e-08,0.0141962245236495,1.35063401209618,0.176812699958299
"b_4th_sr",0.0204405432028823,0.00340266795802266,6.00721065206745,1.88742221851612e-09,0.0120121371757446,1.70165749057184,0.0888195935729403
"b_pr_nat",-0.0126593707928943,0.0369993733704987,-0.342150951210115,0.732237295212528,0.285383187231906,-0.0443592032021395,0.964618080745715
"b_pr_prov",-0.307214198289112,0.0164417399726001,-18.685017449557,0,0.101770897230176,-3.01868418821426,0.00253875026258488
