"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.185059795868996,0.00227993351389043,-81.1689440685549,0,0.0432068835095458,-4.28310909830167,1.84299746606165e-05
"b_sr",0.277038705614895,0.0067871735062396,40.8179789952632,0,0.0350953478477841,7.89388687117364,2.88657986402541e-15
"b_sr2",-0.0056599217792139,0.000201078554364462,-28.1478141570239,0,0.00175549875107074,-3.22411039925931,0.00126364673480772
"b_es",0.169186811645226,0.00418307214852455,40.4455877494012,0,0.0492101793900895,3.43804500902304,0.000585930298408366
"b_2nd_sr",0.0276145148334462,0.00385231723414238,7.16828681415534,7.59392548843607e-13,0.0108565614541569,2.54357836503314,0.0109723441487724
"b_3rd_sr",0.0295746639419902,0.00414874702335809,7.12857732117196,1.01407771069262e-12,0.0133926187383534,2.20828088365535,0.0272246990677665
"b_4th_sr",0.0293022063361274,0.00421280682003909,6.95550676493054,3.51296769451892e-12,0.0097437161266303,3.00729269565257,0.00263585835743818
"b_pr_nat",-0.10528405110501,0.0444840899081484,-2.36677992788889,0.0179435990120675,0.260115720891657,-0.404758508036748,0.685655030582428
"b_pr_prov",-0.240290321040815,0.0192528686726335,-12.4807541736557,0,0.0914813331635492,-2.62665958979005,0.00862275476242425
