"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.192062454031517,0.00223980742332354,-85.74953901462,0,0.0464918274875356,-4.13110140880156,3.61029261273238e-05
"b_sr",0.284992102697938,0.00651833124936474,43.7216354608724,0,0.0373149315086833,7.63748159718904,2.22044604925031e-14
"b_sr2",-0.00582881817620554,0.000190406323900434,-30.6125240843025,0,0.00184945247235519,-3.1516452914212,0.00162353367652268
"b_es",0.166034034899278,0.00390796222569782,42.4860900157831,0,0.0497463210173446,3.33761435024287,0.000845009433169563
"b_2nd_sr",0.0262408522347752,0.0036020184562068,7.28504102736019,3.21520587931445e-13,0.0102401871135894,2.56253640130773,0.0103910694333593
"b_3rd_sr",0.0250042305677976,0.00386081257844724,6.47641657286921,9.39264221955227e-11,0.0125474188441568,1.99277882394448,0.0462856715596107
"b_4th_sr",0.0273576584432077,0.00393815598504773,6.94681941169379,3.73612252246858e-12,0.00987566408554762,2.77020949742952,0.00560202477668592
"b_pr_nat",-0.0657218575117889,0.0419514085733882,-1.56661861297977,0.117203864553397,0.258530953331935,-0.254212722557081,0.799331222217891
"b_pr_prov",-0.254248225812258,0.0182585708669467,-13.924870005709,0,0.0934556808899282,-2.72052189220803,0.00651789558533955
