"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.0364158760746334,0.000311949350815066,-116.736502190133,0,0.00814699745731241,-4.46985239230043,7.82735973658966e-06
"b_nrsr",0.0310178542559872,0.000545262236295254,56.8861222936248,0,0.00446960052724244,6.93973747025753,3.92819110572873e-12
"b_nrsr2",-6.14670485836797e-05,1.45987533296215e-06,-42.1043134272022,0,1.8505572147831e-05,-3.32154272738248,0.000895212745710916
"b_es",0.14646997195858,0.00337907160032955,43.3462173291312,0,0.0529335589503844,2.76705316745977,0.00565655291764555
"b_2nd_sr",0.00177557555644386,0.000273282694074862,6.49721184305023,8.18221046472445e-11,0.000983597624871408,1.80518487595575,0.0710457567984046
"b_3rd_sr",0.00200943225797554,0.000294154434026542,6.83121525815322,8.41993141875719e-12,0.00133228538070971,1.50825963196047,0.131488090558508
"b_4th_sr",0.00205444008059493,0.000299439282638837,6.86095712790245,6.84008405471559e-12,0.00121918270519213,1.6850961483014,0.0919700226666602
"b_pr_nat",0.092864933720126,0.0362482162470173,2.56191733925025,0.0104096090705492,0.282905465888466,0.328254293102763,0.742719399958775
"b_pr_prov",-0.397609744715298,0.0157701663515177,-25.2127806297384,0,0.0947951517036191,-4.19441013142149,2.7358258880561e-05
