"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.201996025048927,0.00209444116683054,-96.4438764133925,0,0.0566431881205945,-3.56611327418352,0.000362314816641396
"b_sr",0.113438064315748,0.00270687870248269,41.9073319435057,0,0.0304586448117001,3.72433064625951,0.000195834121867744
"b_es",0.171115144596692,0.00351595956135986,48.6681207819437,0,0.0636100822504611,2.69006325008252,0.00714384776013821
"b_2nd_sr",0.0144202815460372,0.00269527760723913,5.35020270539346,8.78557688821502e-08,0.0089335807648863,1.61416591236479,0.106491443651196
"b_3rd_sr",0.0159422234452049,0.00289928888420965,5.49866677033487,3.8267351509802e-08,0.012465643798442,1.27889290781735,0.200934770466239
"b_4th_sr",0.0150238496808516,0.00293556780677882,5.11786838858175,3.09008100218833e-07,0.0113984217596982,1.31806402654549,0.187482215545294
"b_pr_nat",-0.22974360442768,0.0353337589901723,-6.50209915371816,7.92068632904375e-11,0.226239860909045,-1.01548685322099,0.309873810254655
"b_pr_prov",-0.195931050675733,0.0158774502095076,-12.3402087923668,0,0.0884422150465982,-2.21535666618595,0.0267355932111979
