"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_tc",-0.177863708681563,0.00249766651195606,-71.2119523684003,0.0385039524879408,-4.61936235604043
"b_sr",0.283581907807081,0.00758498289628409,37.387283753271,0.0306036173072009,9.26628721567353
"b_sr2",-0.00578303056476833,0.000229965937460393,-25.1473354212048,0.00160466438132546,-3.6038879108113
"b_es",0.166202969545114,0.00484739398942852,34.2870767071087,0.0465242392285985,3.57239521378242
"b_2nd_sr",0.027923636687749,0.00456232141458987,6.1204887052569,0.0110039523688613,2.53760065035965
"b_3rd_sr",0.0229215515337185,0.00485790690431809,4.71840074031554,0.0130753009371993,1.75304198685834
"b_4th_sr",0.0251834955683088,0.00496274319818383,5.07451112471928,0.00956423007340078,2.63309177790975
"b_pr_nat",-0.103781284096236,0.0504398171560872,-2.05752696872557,0.245701527598245,-0.422387622538238
"b_pr_prov",-0.193376290602249,0.0220238606340384,-8.78030849429645,0.0878253120739547,-2.20182867599051
