"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.0299814505564603,0.000258934512617333,-115.787772952339,0,0.00669811739957595,-4.47610108451643,7.60185032966376e-06
"b_sr",0.0310545635496413,0.000545403499112599,56.9386951131937,0,0.00447103652940133,6.94571903974122,3.76543241031868e-12
"b_sr2",-6.1490712685692e-05,1.46072252094338e-06,-42.0960940932022,0,1.85470634535282e-05,-3.31538805804834,0.000915159859937509
"b_es",0.146525157470695,0.00337828410639245,43.3726569039702,0,0.0536580072823533,2.73072305312545,0.00631955525413175
"b_2nd_sr",0.00173807040342546,0.000273229738611996,6.36120508790453,2.00176986098199e-10,0.000983119726649495,1.76791326255741,0.0770754052593416
"b_3rd_sr",0.0020135557556357,0.000294155438773909,6.84521001559091,7.63633600797675e-12,0.00133378894652459,1.50965095406013,0.131132512273106
"b_4th_sr",0.00207011706876604,0.000299425842254979,6.91362192780677,4.72444305898989e-12,0.00121881396104191,1.69846845780827,0.0894193810161361
"b_pr_nat",0.0936181108000542,0.0360229028984965,2.59884971135854,0.00935367148609179,0.279278183228143,0.335214551018393,0.737463246287515
"b_pr_prov",-0.39732837155282,0.0157763003358926,-25.1851424664413,0,0.095996899184675,-4.13897089309578,3.48867203263659e-05
