"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.19844342693019,0.00218031120332836,-91.0161020258279,0,0.049958494441249,-3.97216587788807,7.12220949143916e-05
"b_sr",0.288354816430907,0.00627774742008514,45.9328477454093,0,0.0408965730743153,7.05083078493942,1.7785772854495e-12
"b_sr2",-0.00578763714712417,0.000180579196466061,-32.0504092408669,0,0.00196927071916777,-2.93897486556346,0.00329299777566505
"b_es",0.165167972905211,0.00369621834671636,44.6856644851465,0,0.0515086987817988,3.20660348274173,0.0013431198731908
"b_2nd_sr",0.0226059803048829,0.00339443692669921,6.65971434822481,2.74360534291418e-11,0.0110415849954992,2.04734920884073,0.0406238095205227
"b_3rd_sr",0.0214725703511883,0.00363731773366873,5.90340792953775,3.56068374784968e-09,0.0136881466191021,1.56869815532388,0.116718288644794
"b_4th_sr",0.0225515517997582,0.00369200740939314,6.10820870575257,1.00755537246755e-09,0.0111899271206428,2.01534393893914,0.0438686240527499
"b_pr_nat",-0.0426607135500283,0.0399016674218628,-1.06914613615003,0.28500382537786,0.272562514719274,-0.156517170359859,0.875625386044375
"b_pr_prov",-0.28047996891696,0.0173733756909819,-16.1442412750305,0,0.0954212281803115,-2.93938753740368,0.0032886159373835
