"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_tc",-0.0299831550794732,0.000258947878197821,-115.788379067419,0,0.00669868568527421,-4.47597580901362,7.60630975182863e-06
"b_nrsr",0.031048308777289,0.000545376274203647,56.9300687358016,0,0.00447045248731462,6.94522732662787,3.77853304200926e-12
"b_nrsr2",-6.14608360475811e-05,1.46061479556225e-06,-42.0787439880221,0,1.85464340076419e-05,-3.31388966861536,0.000920078048495254
"b_es",0.146513790436306,0.00337838314656499,43.3680207602492,0,0.0536607517127274,2.73037156133532,0.00632629788871575
"b_2nd_sr",0.00173585987770924,0.000273213954114071,6.35348177342544,2.10495176844461e-10,0.000982934626825609,1.76599728032291,0.0773963051452633
"b_3rd_sr",0.00201270046621137,0.000294142169103575,6.84261108274702,7.77622410907952e-12,0.00133379066031927,1.50900776717809,0.13129679788233
"b_4th_sr",0.00206348874263937,0.000299411363306348,6.8918183994509,5.50826051437525e-12,0.00121861767167511,1.69330282220748,0.090397841218927
"b_pr_nat",0.0928665876662449,0.0360317700524249,2.57735291747054,0.00995602423488706,0.279301444878029,0.332495908522062,0.739514828671444
"b_pr_prov",-0.39757531431748,0.0157781375650894,-25.1978608170557,0,0.0960008396135896,-4.14137330379349,3.4523255228569e-05
